userid,gender,age,ope,con,ext,agr,neu
fc56bb60bfe7044f28dbdd5a81097709,1,32,1.9,-1.45,-1.02,-1.34,1.67
d42f3cd0165fa65502d1a3f0aecac43d,0,30,0.79,-0.35,-0.89,1.24,0.05
bf60e70f463b2a96796be0907a5e0601,1,31,-0.87,-2.34,0.23,0.82,-0.7
7a33d0fc4b2a30d2008650d401d6747f,0,35,1.07,0.17,1.36,0.99,-0.88
5880081cd3de1619cd431a75d9052dfc,0,28,0.24,0.62,-0.71,-0.93,-0.63
45ab97edbe4e93bc1017bcd28483a678,0,31,1.63,-0.72,0.73,0.32,-0.38
5a16929922d8ca3c524e007ad18c2923,1,35,1.9,0.02,0.42,-0.93,1.73
f1749c5f245a2d3d4a204d5b2e629943,1,28,1.35,0.54,-1.02,-1.18,0.42
be047db14d4e1659ea09a863c0c80fda,0,28,1.53,1.28,0.67,0.41,-1.32
fe71980abf4208460a885cf0bfdad0bc,1,35,0.42,0.1,0.36,0.32,-0.14
732db54f1228236af1330f4e739798e8,0,34,0.89,-0.05,0.04,-0.43,-1.57
6b5566c970b52503dcb76dbfa5e8888a,1,29,1.63,-1.6,-0.39,-0.76,-0.38
98f6b16f49050d60d073889adf1d70d4,1,30,0.79,0.39,1.04,-0.34,-0.76
6e2cc5b07d8d7652c2cfaa22e03bb8d0,0,33,1.26,0.47,1.42,1.32,-1.5
ba85fd041f9eabea1d50fd40c6faf449,0,29,0.52,0.32,0.73,0.74,-1.75
735d33a638e2f0c3c4c26be43a1218ee,0,30,1.44,0.39,1.42,0.41,-0.51
99ceed4af8523b871ba6d545489c4d48,1,34,1.72,0.69,1.61,0.82,-0.45
7a2b287361676dee33e93c5b38e24c5f,1,30,0.52,-0.64,-0.21,0.66,-0.26
e8f1a675469f47dfc4fb600eb9f4ec78,0,37,0.61,0.69,-0.32,-0.93,-0.01
ca1f073364327b591389d8757763065f,1,35,0.05,0.39,1.04,0.57,-1.13
314d82758d0e95d07580b06c863452a7,0,29,1.44,0.1,0.98,1.07,-0.94
516228334fb39fde0d9677b8863dbd39,1,32,0.33,-0.72,-0.83,0.41,0.74
5ab39aebc8fbba936b2a5f74ef4d5f4b,1,28,0.89,1.43,1.61,0.66,-0.26
e9540289b1ad271872df32c1093c18e0,0,33,1.16,1.13,-0.27,0.82,-1.38
900e01d46e8cb2c167f4c1f58186dfc9,0,29,0.33,-0.57,-0.02,0.07,-1.07
d4ddf8f77e94b1964eee56a1a267b774,0,29,0.42,0.76,1.11,-0.09,0.3
5874a4457814909d2fdcee3f1b3c4e74,0,29,-0.31,-0.05,-0.14,-0.59,0.49
5435caf1e54339955dae7bb6d28c3cfd,0,31,-0.31,0.32,0.73,0.49,-0.38
43e9b5847ad2e94f53bcc9d826093a76,1,28,0.79,0.84,0.27,1.24,-0.32
47bbde2b5e55c031729f4c72edc7a54c,1,28,0.61,-0.05,0.23,0.07,1.05
1badde689d78a7a16fe1d2ebcb8aa376,1,28,0.79,0.1,-0.39,0.41,0.8
3ccc286f168d1256cae5fce05cf2577a,0,29,0.79,-0.4,-1.02,-0.18,0.24
b27f5905e4d8eb0cc38a8d0e9b04d2d2,0,29,0.15,-1.53,-0.02,0.74,0.24
0ea16c12571f5a3908ee5deb5161dbcc,0,36,0.15,-1.23,-0.83,1.07,-1.26
21c8e5af15aba1f4b7fda428c305ee59,0,29,-0.68,-0.12,0.54,0.24,-1.26
ad84497ad2a8607e8b47bc7eaca5528f,0,28,-0.22,-0.72,1.04,0.41,-0.57
830780f2017c7d43dc49b47d78179d35,0,31,1.81,1.21,1.48,-0.59,-0.2
90a18c8bbe3da5fbcdf5414755df2a41,1,28,-1.24,0.69,-0.77,1.16,0.3
20b95bd55a1e2d1c5fecabe71c31a7b3,1,30,0.42,-1.45,-1.02,0.91,0.8
f842a284b14cf7e296a548a02d1ebcf8,1,28,1.07,-0.79,0.61,1.32,-1.19
933b2a1782adedc45f64d4ddb0c6e9d1,1,31,1.07,-1.01,1.04,-1.67,0.99
fa5eaee67960ed3d4ed3df39ee610239,0,28,0.05,0.32,1.23,-0.43,-1.07
a1a85df1bcb10024c654cf9cea3760fe,1,28,-1.15,1.43,-1.08,-0.18,-1.19
0ccc597e77c14dc29bf9d35200fa92d3,1,31,1.26,1.21,0.17,1.16,0.92
44e8f24cc4f6c1bf2d57eaa6263853b8,1,33,-1.33,1.28,0.86,1.16,-1.44
275326c8f8aec1f39c1a6c4b3674b48d,0,28,1.35,1.36,1.61,0.66,-1.69
70d55145c9206248a639a5846f3ba844,0,28,-0.13,-0.05,0.23,-1.51,-0.14
669101ca5010ada6f865c053833a06cf,0,32,0.35,0.54,1.86,-0.18,-1.07
038455e40abbb1f42248a5d16bafa0f6,1,35,0.61,0.17,0.17,-1.34,0.61
e8229824576334ea86c47514eaa3011d,0,31,-1.7,-0.49,0.54,1.07,0.24
c96bec5aa5a8e2e9c94388a515a80146,1,28,0.33,0.69,0.29,0.47,0.8
a05f6c18458043bde14b6d7b63bceea5,0,34,-1.05,0.25,-0.83,0.91,-0.14
962e75ca3786c304d69ba6382af5114b,0,32,0.7,-0.94,-1.46,-3.59,0.99
2771fda12cabd548b65e8f3d1ea1cc02,1,34,1.16,1.43,0.23,0.07,-0.48
48609bc3623981973f94bcbb230ee426,0,29,1.35,0.54,0.23,1.16,0.18
8d6fce7de4c2c8e3f41fb34f8fd3b3f5,0,47,0.24,1.87,1.54,1.16,-1.5
14029b0c7255e793ddd247066c5e668d,1,30,0.7,-1.09,-0.26,0.57,1.11
73b18c549b5d0a8c48c4c9b68696d7df,0,29,1.26,1.87,1.23,0.91,-1.13
5244ec83432bbbcfc12c42b6ce1a617d,0,29,0.89,0.54,1.17,0.16,-0.82
da7162286cbd88d1b1845bb94b3b7e77,1,32,0.61,-0.27,0.54,0.57,-0.7
115a4a505177e8b956c61cb638ec8be3,0,36,0.98,-0.2,-0.39,0.49,0.18
bd6afc8145c25e67348af6d459420391,0,29,1.16,0.02,0.42,-1.01,-0.26
0236e0c92a649c58d3ffd3b9d9473f42,0,30,0.42,-0.79,0.04,-0.34,-0.63
3bc8d37146610b86360398420d200ecb,1,29,0.52,0.25,-1.58,-0.93,1.23
bac84d3d5c6bf9026590d29a4299d5c6,0,34,-0.96,-0.2,-0.33,-2.34,1.55
5fd2b40141e92c912a13f9268b8a8f3b,1,28,-0.68,-0.12,-0.33,0.24,-1.13
524b0a98cffacdee34192fb01dbfe10f,0,31,0.61,0.47,1.11,0.24,-0.94
10c71363f64b5f682db8a53e62b57e9f,1,29,0.05,-1.09,-0.33,0.66,1.42
ff7bf988a79543a11905de0210d244bf,1,31,0.15,1.21,1.04,1.32,0.04
943c127b0adf7c74b1297f231d0bd2f9,0,35,1.07,-1.9,0.11,-2.51,0.11
f0841874e53a531f3d215113361e2e66,0,36,1.63,-1.01,-1.43,-1.29,2.39
1a10f94a28b03adb1e0dc1dc1ff1be68,1,46,0.52,0.91,0.48,0.57,-0.36
f803eebb5907d81c444bdf22c88181b7,1,32,0.7,0.84,-1.89,1.16,0.92
49c8e79d6c30cb64e352202350c376a6,1,36,0.98,-1.16,-0.14,0.74,0.49
6d2c7f1b13cd5860f427f898dac18993,0,29,1.18,-1.19,1.23,-1.01,2.13
24602eda6e0a6f4c65cc0feb2c589eed,0,28,1.81,1.58,0.54,1.07,-0.88
58fc7ca58fdb74bf09b364a9af8bce0c,1,29,0.98,-0.2,-1.08,0.41,0.86
7945174916386de3e815175bf8cb0cfb,0,32,0.24,-0.05,-0.14,-0.01,1.55
3034352612c927ce48d64bb70a270344,0,30,0.33,-0.49,1.86,-0.83,-1.01
5969ccd4776ab75ef605aa5542b67f95,1,30,1.07,0.69,1.04,0.99,-0.88
45020c829d10aa3bfa0414bb119888ce,0,35,0.98,0.39,-0.33,1.74,-0.01
dcb93f7be2f6767837f104b5ad6c8f5c,1,30,-0.78,-2.19,-2.89,-1.59,1.3
01ef532396c47fef7d0553026b3976fc,1,28,0.89,-0.12,-0.21,-1.09,1.05
502bcfd128349de67c38bac6e4f27ebb,1,33,1.16,0.76,1.04,-0.09,-0.38
a6db6aa2a337baa4a000bb0723100bf6,1,29,-1.05,-1.09,-1.83,0.41,0.05
3c69ac00fb9aaccca4c3b7944a25764c,0,32,-1.33,-0.27,-0.21,1.57,-1.26
a583ba94e5e8a0f1e4552a57ced90890,1,35,-0.15,0.69,0.92,0.91,-0.01
32fd487d00dac0bd4a2a80b83f249265,0,32,0.05,-0.12,-0.27,-2.24,1.42
e3a32414c2f56f2fc3d12bab6a8c39a5,0,33,-0.13,-1.75,-2.08,-0.93,0.49
57e0271518e156c6aa7cff1725052b33,1,32,-1.24,0.32,-1.46,1.07,1.23
96ea34cbd3f7ada87a5afce3f8e601d3,0,30,-0.41,1.8,-1.64,-1.67,-0.63
89c9333d84bcf16420610fff78c18f19,0,29,0.42,0.25,-0.96,1.24,0.24
cf79b3ec2ad03f84ec0dcb733b96fea0,1,33,0.79,-1.38,0.23,-2.09,1.3
d6809718429f71493ca04a4bded71ecd,1,28,0.61,0.76,-2.14,-2.59,1.11
e2a426b3a98c5490db2316b0c8336fa4,0,31,1.07,-1.68,-0.52,-2.67,0.99
099ef4b53135d202fba3f5f73b5377b2,1,33,-0.22,-1.09,-0.71,0.99,1.86
8f22e6c9dedfc712246a83d16554ea18,1,33,1.35,1.36,1.42,0.32,-1.57
4f75044a8199249e5a6490ac90fc7853,1,31,0.05,0.47,0.73,1.16,0.18
59ef810b23b74f51f7f3498e551ffab3,0,35,1.16,-0.79,0.86,-0.34,-1.01
e1165d7fff79991ce28f1c53d8e39a81,1,31,0.7,-0.27,-0.02,0.07,0.55
c88036b8590fc1439ce8a69829db51e6,0,30,1.63,0.25,0.36,-0.26,0.18
7fa8e12aeda248c5527a4f04dbe0f200,0,35,1.26,0.91,-0.77,-1.01,0.67
710cf6d211aab984a49655beeb4956c9,0,28,0.52,-0.42,-1.96,0.82,0.99
accc2927878657117d2fb0d136410c0a,1,28,1.44,0.17,-1.08,0.57,1.23
e7dd4df4ffb64e515698aeb12bfb8f55,1,31,1.16,-0.05,-1.24,0.24,1.73
41ea0cf779c66fc79ab64dd807327cca,1,28,-0.5,-0.12,-1.96,-0.68,1.3
672d852904992ebd4512d302f4daf9c5,1,31,1.07,1.28,0.73,-0.93,0.67
d57ea18dfdec9177308499fc5420c3ca,1,30,1.35,-1.97,0.86,0.74,0.74
7d07483059255c3d7ddc38b9672081fb,1,31,0.05,0.76,0.73,0.07,-0.7
fca202ece88b4a32849247e10b306249,1,30,-0.31,-0.12,-0.77,0.99,-1.5
abe75cf62be1b0677e00ce7d4e5c6fbb,0,33,0.79,-0.35,-0.27,0.74,-1.69
ae73a19038068a2d82fc80aabe79556b,0,28,0.33,1.36,1.59,0.41,-1.44
04f69eb4b477de6938823372ff52b45f,1,35,0.89,-0.12,1.48,1.16,-0.94
2f4d0dbd1df723d5be1235b5b08f2096,1,29,1.26,-1.75,1.42,-0.84,-0.01
031e1f00ae009e56690171ee46b908cf,1,28,1.44,-0.05,0.17,-0.43,1.67
7e2309811ea81a6a5212d813208fca93,1,29,-0.13,1.5,1.61,1.9,-1.82
9a811ec9bf57e352718a0725df588b10,0,30,0.61,0.99,1.67,-0.09,-0.76
546adabe25fafff83ff561f762134c53,1,30,0.24,1.65,1.04,1.82,-0.45
932192d1e0bc131af4993649cb47c7e5,1,33,-0.31,1.87,0.61,1.07,-1.38
09b60f814b544b6b71e5ab25ad6ec47a,0,36,-0.04,0.1,0.54,-1.09,-0.7
d8e8c7be0c0690310d0d3ad67d6c6b3d,1,30,0.24,-0.12,0.54,0.82,0.36
b40cc792812107ea6f14aa343c2d735f,0,30,1.52,1.24,1.92,1.36,-1.5
54d714b608308b44f9ce8d0bbac4135f,0,32,1.63,0.17,0.67,0.82,-0.82
f0b3669b6b7127098438e7c3c2ab0975,0,32,1.26,0.1,0.47,0.07,-0.32
118e1c5b503ba7f41e4558e3e1632b55,1,30,0.42,1.8,0.11,-0.93,0.86
32be430eff1a5aed276a44d7900e18fb,0,28,0.98,-0.72,-2.08,1.41,-1.57
77af6b0058b44ed2bdb43e1f1022af96,1,28,0.74,0.76,-0.52,-3.07,0.44
8496171b9c6a31c663dd94a34fc670ca,0,30,0.61,-2.05,-0.52,-0.01,-0.57
f05339cdc7893202fbc9684bfc0733c3,1,30,0.33,0.25,0.36,-0.09,1.79
49185b69fd67f2fc1883c17176eefe7d,1,32,0.05,-1.09,0.73,0.74,-0.07
dea0db749e2d39c2b650f7dd7d996019,0,31,1.13,-0.12,-0.02,0.57,-1.19
261b6547c985d6573a7528eb6c22cc1e,1,34,-0.41,-0.72,-1.27,0.32,0.55
a7bd9af357ccfe1f8ad488c93995a7ea,0,32,-1.24,1.13,-0.27,0.32,-1.13
e6c8f0adb31d2662064623b4d566c945,0,31,1.53,-2.71,-0.14,1.32,0.74
1e94ff6603088454f3cbb1857a0a08e2,0,31,0.52,1.21,1.86,-0.34,-0.76
7e398abe6587f1c300bb9429cd55d372,0,30,0.61,0.54,0.29,0.57,-0.7
74b062fe4d7dae659ddd49917b760068,1,28,0.52,1.28,1.17,-0.01,-0.57
b1dcb2ae9137cbe2a063d7da672da05a,1,28,0.24,0.54,-1.33,-1.34,-1.44
fadb3a3417ba054b1b8d71f8e3da27a2,0,29,0.15,0.91,0.36,0.07,-0.82
9768bf79d18f055e017b54545098be05,0,28,0.79,-0.12,0.61,1.24,-1.88
9749ee7de40ef90d958aac04cfab287a,0,30,0.33,1.36,0.42,1.32,-1.5
5e6deb0855d03fbcdaeeb02b5024eb8d,1,34,0.52,1.72,0.29,-0.68,0.8
4c20ae4da223eb119e96a23d616f707c,1,28,0.24,0.25,1.54,1.24,-1.26
96e2c28afc9a0ee7541d92cf8a32f0b0,1,28,-0.04,-0.35,-0.89,-0.26,0.55
a7af79cab2dee6906a84f48ab90d6199,0,31,0.15,0.54,-0.39,-0.18,-0.01
efa65338f427fe7ae629fee2a68f1f7d,0,32,1.26,-0.86,1.17,-0.18,-0.82
f348654fcc8d3a64b8163586fad7f712,0,35,1.35,0.39,1.42,-0.84,-0.94
aebd4a8434db761c7fbae3ed70ed01b3,0,29,1.16,-0.79,-1.46,-0.18,-0.63
887de291017e13fe26748c8565ed9278,1,29,1.72,-1.01,0.73,1.07,-0.2
0b30b2acbf435310db2312ce65090d7c,0,28,1.63,-0.57,0.29,0.57,-1.57
9644f71032ff69fdf9b76901acd3335b,0,28,0.42,0.25,0.93,0.57,-0.45
deb35532c62461ac58f95189a2130c05,1,28,-1.7,-0.05,-0.96,0.32,0.49
db824341c95e27f5bcf79deb9e122e8a,0,31,0.24,0.25,-0.33,0.32,-0.14
173fc768fdf4bc5f047811e89c84af29,0,29,-0.41,1.13,-0.14,1.41,-1.88
69b5700c5063c14557689d9387c8e6f9,1,29,-2.26,-1.01,0.04,-0.34,-0.14
3edaed12113887661a0371e07821204c,0,34,-0.5,1.06,0.17,1.32,-1.34
6db52c5cabbcad7c4edf0439880255f8,1,35,1.72,-0.42,1.73,0.74,0.42
8022d73cd1f90b7bf9dd0a4603b38945,0,37,-0.04,0.54,-0.77,-0.01,1.08
7f7c4e9b193c05f1b229cce24c3872bd,0,29,0.7,-0.2,-0.52,-0.01,0.18
76f2f3a12534ea1f4652a6acd663b06b,1,29,0.15,1.13,0.42,-1.09,0.24
cc33d36f2adc66d8a08cc0ee797506b0,0,30,0.61,1.24,0.98,-1.01,0.61
420cc1288ffc785e3377137fe6685e14,0,29,0.33,1.21,1.42,-1.59,-0.26
6cc90783d93299115da3b901b8ac9506,0,29,0.42,0.25,0.61,-1.84,0.05
407aabdad5087ee4ac7e3f51d1675ff3,1,31,1.26,0.32,0.61,-0.01,-0.2
32a0ffa8a764c2646720d4de70bb410a,0,30,-1.05,0.99,0.42,0.91,-0.51
3d9851575a26f3ed93386045888dde63,1,30,-0.68,1.36,0.29,0.74,-0.14
3cd91151fcd5495ce77c8ab78bcdabe8,0,31,-0.04,-0.2,-0.71,0.82,-0.94
e13777b64decfdd905921b9b8c0bdb18,1,35,-0.59,-1.23,-0.21,-2.09,-0.63
529d29970c48d7254e43633f0dfb2832,1,30,1.16,-2.05,0.17,0.07,0.3
f892de8d5dfcef967816f851e6d70135,1,34,-1.05,-1.53,-0.83,0.41,0.49
d3dbd6022ddfed7c854e2970edc738f9,1,47,1.26,-0.57,-1.89,1.9,0.55
de5bb91235e4dab02f3a03376045a8b0,0,29,-0.68,-0.27,-1.77,-0.01,0.8
99241e1af982dbe53aab2422828a0ca2,1,32,0.42,-0.2,-1.33,-0.09,1.42
82dbddfe5bb809dcf7ac1c642a13cb1f,1,29,1.63,0.25,-0.02,-0.01,0.99
c248285939d51939538eb009d25de717,0,39,1.63,-0.35,0.11,0.82,-1.01
9c34e8baa8f9488ca430ae42ad20c7a7,1,36,1.9,-0.2,0.92,1.16,-0.26
9fbd59a33e2e949af682bd68f0cc8486,0,32,1.72,-0.72,1.86,0.32,-0.68
c3262914159299f087f43dea98239bf9,1,34,0.98,0.69,0.54,-0.26,0.74
9c832bb5fd54b0e8d68e74c10f1b6c12,1,33,0.61,0.54,0.67,0.07,-1.07
30eb265c84dcd86ffd02fe39743afcd1,1,29,0.15,-1.01,0.98,-0.51,0.55
febc9b4ec534bbad38bd110322f19564,0,30,0.33,-0.72,-0.89,0.49,-0.32
b22daba74159df0aa6872dcb1e4b5bd7,1,29,-0.13,-1.16,-0.52,-0.26,-0.57
c53e05092e95df8297a90b85a45ea1f4,1,31,0.24,0.39,-0.64,1.32,-1.19
23956cc91d29af635edf61f4187bf7ee,0,33,0.7,0.02,0.73,1.16,-1.01
8af9be731384072bf16558bfd3df8ae9,1,31,-1.98,-0.12,-1.31,-0.26,0.74
9bfbd41841703a182ef1c08c5669ff88,1,31,0.89,-2.05,1.29,-0.43,0.95
7a1d058a959f9316d3ddfc3d383cf03b,1,31,-0.87,1.36,-1.52,-0.01,1.73
ec3c99a4aaadef54f32fe13f36d0ad7e,1,29,1.07,-0.27,0.11,0.16,-0.07
210095cbf7503599ea719b42a78fe283,1,29,0.33,1.36,0.73,0.82,-0.76
6f9d09e6924544dc50d9a253702c861a,0,32,-0.04,1.06,0.42,0.32,-0.94
3c94c8a414022f0bbb999c6d28ce03e9,1,29,0.52,0.39,0.73,1.32,-1.94
2af7961d939bd33ad09d6b248ad46208,1,31,0.79,-0.86,-0.02,-0.84,-0.01
62b284326062a557929ff11abd035bd6,0,30,0.61,-1.23,-0.02,0.57,-1.32
fe0930e8a20f2b5f456c9a40c62ab9bd,1,29,1.35,0.32,0.93,-0.34,-0.32
93db0a9cff5d7abef9a92b9a52b3b77b,0,31,1.16,0.32,-2.71,-2.26,1.86
f7d45b629edb6936add7bd5e83518ce4,0,31,0.61,1.36,0.29,1.82,-1.5
4d8e553f0179203d87458d9077f8277d,0,32,1.16,0.25,0.04,0.49,-0.45
4d2346b6b5013574eb37a86698806a9d,1,30,0.7,0.99,1.42,-0.01,-1.07
ab336cda73d58de67a00dd8dd85e7d8e,0,28,-0.04,-0.79,1.17,0.32,-1.13
ba90f424ebb6f5fdb788d9a00a7259a7,1,30,0.24,-0.27,1.23,-0.43,-0.38
3ff3d7c2ddd1e5fae7d08e218625cee9,1,28,0.15,0.47,-0.06,1.24,-1.13
acd08d5ab7b177da94c0c6b563a127c3,0,29,0.05,0.54,0.04,-0.43,-0.57
43e34ce9ec53440f13946515018513f8,1,31,1.22,1.95,1.72,1.74,-0.75
8c110e45df131c5218ab60d0a5211d0f,1,28,1.72,-0.27,0.86,0.32,0.36
8660d69a0412e3922cb3722ce7f42355,0,29,1.26,1.13,1.29,0.91,-1.69
5b0aa824138d7c2cb7e1f6fd30a639a2,1,33,1.53,1.87,1.73,0.16,-1.13
6c31ea318054eabd245ec4cc4651df82,0,29,0.42,-0.12,-1.21,-0.93,-0.14
10309063241fd0d6eb2cc381e9a8d00a,1,33,-0.13,-0.35,-0.96,-0.59,1.92
7a66fa61f52cc40be7112dd9a7602401,0,46,-0.13,-0.79,0.29,0.74,-0.32
447d801093ec70c33f54b3cd15c467dd,0,29,0.42,0.14,1.23,1.41,-1.57
60e8e551a84f9e84347dda9ab91625bd,0,29,0.79,1.5,0.61,0.32,-0.7
4cccb729c927156f23843d75102df800,1,32,1.07,0.54,1.11,0.66,-1.88
cbb6a735284f0a9cb47a171a0f44c4b8,0,31,0.33,-0.49,1.23,-1.43,-1.41
b56918e7243bf6f0bbac049cb4a9b9fe,0,34,1.35,1.13,-1.27,0.74,-0.14
62f1ed23e62c008956543989d58eab5f,1,29,1.44,-1.9,-0.89,-0.43,1.36
41d74c870e9bd0dd9d2e62442b7d84f0,1,35,0.24,0.62,-1.52,-0.76,1.67
b9cf996c51a40e8430b99e22e4810402,0,34,1.72,0.17,0.11,1.57,-1.88
546f1f95bf06334ffbf2b755a90f31ef,0,33,1.9,-0.42,-0.33,-2.01,1.05
b661c44fbeb33f5304b804c87a0d6bc2,0,29,1.35,-0.72,-0.33,0.74,-0.82
19f3c57b5eeca99bf61bc2afe5c7b909,0,30,-0.13,-1.23,1.11,-1.01,2.29
aa08412aa38d5ffff761dfdacd89f293,0,30,1.53,-0.57,0.23,0.32,-1.32
2ce1c0b56582190ce2ab3381032886c8,0,31,-0.5,0.91,1.42,-0.26,-0.45
1a85d055edac424aa50fc40af48a651b,1,29,-0.68,-0.79,0.36,-1.26,1.36
48a62df11a0461d40bc6552f39c072e1,1,30,0.98,1.21,0.29,0.41,0.86
d5d45d0b0202b507f626ab6298765ad2,1,34,-0.04,0.76,1.17,-0.34,0.8
b4e5b8e4b130aea51e298f6f0398d853,1,29,0.98,-0.12,1.23,-1.76,0.61
c9ab4cc2c5bc5a51c3ca0e2d47a347a0,1,28,0.42,-0.42,-0.77,0.32,1.48
d9c24b3c79b3940782e47fd53b526d0d,1,33,0.89,0.25,0.29,0.32,0.61
68bea73433bfb24b3b3b3de700936688,1,35,1.44,-0.12,1.48,1.16,-1.19
20dd9228070babaee8e2aec7af0e0cff,0,29,0.15,0.1,-1.46,-1.51,0.67
d8fdd1564dae5791f2e4db3a8bb68bcb,0,29,0.89,-1.19,0.42,-0.34,-0.36
95107db3cc6599622f2bb8d398e2197b,1,33,0.15,-1.09,0.42,-0.51,1.36
57d4eb10a22eb27b76b1e89dd517b987,1,31,1.63,-1.09,-1.21,-2.01,1.11
3ff00360d5020b14c603a40964ea1305,1,30,1.72,0.02,0.86,0.57,-0.51
881211a4270aa58f65f40c65869ba905,0,30,0.52,1.36,1.29,-0.18,-1.75
d712ce128155c953430147897a050fac,1,29,0.79,0.1,0.23,0.07,0.91
a7b6dc0dfb89db61ddc539aa7afc53e0,1,29,0.05,-0.79,-2.52,-1.84,2.79
36ca1e315a39a9fbd077a3416e829e78,1,30,0.15,-0.27,-0.83,-0.01,0.18
7b5a3061912310bd401cfbdccbfff1be,0,30,0.05,-0.12,0.29,0.91,-1.07
160c0ac65b2d07103f45231634241ad9,1,28,0.15,0.91,0.29,-0.18,-1.07
